iter	Passed	Remaining
0	2	2590
1	4	2483
2	10	3552
3	13	3276
4	22	4524
5	31	5219
6	34	4904
7	37	4589
8	39	4328
9	41	4126
10	48	4379
11	51	4208
12	57	4355
13	70	4941
14	77	5114
15	87	5368
16	104	6057
17	114	6244
18	120	6232
19	123	6045
20	125	5864
21	130	5801
22	139	5936
23	147	6001
24	157	6152
25	162	6096
26	173	6238
27	175	6102
28	178	5967
29	185	5997
30	188	5877
31	194	5868
32	197	5788
33	218	6207
34	220	6090
35	230	6180
36	235	6136
37	239	6059
38	249	6135
39	258	6192
40	260	6090
41	271	6181
42	277	6180
43	289	6295
44	292	6205
45	294	6114
46	297	6028
47	299	5944
48	302	5863
49	304	5792
50	307	5726
51	310	5654
52	312	5590
53	316	5549
54	319	5484
55	321	5424
56	325	5391
57	330	5374
58	333	5317
59	341	5345
60	345	5321
61	348	5266
62	356	5297
63	358	5244
64	361	5194
65	364	5151
66	370	5153
67	376	5165
68	386	5219
69	397	5277
70	404	5295
71	409	5280
72	416	5288
73	419	5253
74	422	5204
75	423	5154
76	425	5105
77	427	5056
78	434	5067
79	436	5021
80	438	4976
81	443	4964
82	445	4921
83	447	4880
84	452	4872
85	455	4838
86	457	4805
87	459	4766
88	465	4768
89	468	4732
90	472	4723
91	475	4695
92	478	4668
93	500	4824
94	504	4809
95	510	4808
96	520	4845
97	522	4811
98	529	4816
99	532	4791
100	534	4760
101	537	4730
102	547	4769
103	550	4742
104	560	4775
105	565	4769
106	575	4807
107	580	4795
108	587	4798
109	593	4805
110	597	4785
111	602	4773
112	609	4787
113	616	4789
114	625	4813
115	635	4843
116	641	4840
117	646	4835
118	658	4877
119	661	4848
120	663	4820
121	665	4792
122	668	4765
123	670	4738
124	673	4712
125	675	4686
126	677	4660
127	680	4634
128	682	4610
129	685	4584
130	687	4560
131	689	4536
132	692	4512
133	694	4488
134	696	4465
135	699	4442
136	702	4422
137	706	4410
138	709	4397
139	712	4377
140	714	4355
141	717	4334
142	719	4313
